,C,H,O,N,S,VM,Ash,FC,Agent_sample,Heating_rate,Activation_temp,Activation_time,SBET,TPV,Agent_H3PO4,Agent_K2CO3,Agent_KOH,Agent_Na2CO3,Agent_NaOH,Agent_ZnCl2,Label_biomass,Label_lignin
166,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,500.0,1.0,257.37,0.15,False,False,True,False,False,False,False,True
167,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,760.2758,0.3275,False,False,True,False,False,False,False,True
168,59.8,5.3,34.8,0.1,0.0,74.46,3.71,21.65,1.0,10.0,600.0,1.0,760.28,0.33,False,False,True,False,False,False,False,True
169,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,700.0,1.0,916.0,0.364,False,False,True,False,False,False,False,True
170,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,1.0,5.0,600.0,1.0,770.0,0.366,False,False,True,False,False,False,False,True
171,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,1.0,5.0,600.0,1.0,878.0,0.372,False,False,True,False,False,False,False,True
172,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,2.0,5.0,600.0,1.0,957.0,0.399,False,False,True,False,False,False,False,True
173,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,550.0,2.0,959.4,0.49,False,False,True,False,False,False,False,True
174,61.95,5.04,31.95,1.06,0.0,61.99,2.26,35.81,3.0,10.0,550.0,2.0,959.4,0.49,False,False,True,False,False,False,False,True
175,60.67,3.3,32.98,0.6,0.0,49.83,2.45,45.0,2.0,5.0,700.0,1.0,1240.0,0.492,False,False,True,False,False,False,False,True
176,62.55,5.28,29.41,0.45,0.0,58.6,2.31,35.28,2.0,5.0,600.0,1.0,1180.0,0.494,False,False,True,False,False,False,False,True
177,60.82,5.1,24.68,0.15,9.25,64.62,4.62,28.06,0.25,5.0,800.0,1.0,1230.0,0.51,False,False,True,False,False,False,False,True
